5150	848
5150	966
5150	8312
5150	503
5150	5133
5150	3528
5150	3150
5150	175
5150	1795
5150	7190
5151	7136
5151	7330
5151	4702
5151	3752
5151	4334
5151	1390
5151	8454
5151	6431
5151	8526
5151	8090
5151	3152
5151	3259
5151	4221
5151	3564
5151	700
5151	7807
5151	395
5151	9419
5152	3376
5152	655
5152	1416
5152	4524
5153	483
5153	8076
5154	766
5154	7139
5155	2800
5155	8339
5155	6200
5155	3939
5155	352
5156	7259
5156	1735
5156	4095
5156	821
5156	440
5156	636
5156	4268
5157	8971
5157	770
5157	5516
5157	1211
5158	5715
5159	977
5159	9057
5159	4426
8814	2471
8814	3624
8814	6231
8814	1214
8814	9417
8814	5854
8814	7736
8814	4226
8814	4842
8814	3510
8815	4384
8815	1069
8816	4101
8816	8256
8817	447
8817	4455
8817	1204
8817	6549
8817	9653
8817	4165
8817	8738
8817	4604
8817	763
8818	2876
8818	8471
8819	6247
8819	6475
8819	1847
8819	7036
8819	525
8819	1358
8819	782
8819	1115
8819	666
8819	6098
8819	3734
8819	1750
8819	1593
9776	1174
9776	8739
9777	3858
9777	262
9777	9636
9777	6360
9777	3752
9777	2235
9777	1699
9777	5414
9777	58
9777	2843
9777	3932
9777	657
9777	7013
9777	16
9778	2778
9778	265
9779	8583
9779	2464
9779	2393
9779	6634
9779	770
9779	5808
9779	1947
9779	2484
9779	3699
9779	1140
9779	215
9779	1544
9779	124
9779	7954
9779	2312
9779	1105
9779	2717
9779	8981
9779	9495
9779	3453
9779	1352
9779	1139
9779	4604
9779	2979
9779	8256
9779	8628
9779	2449
9779	2413
9779	9335
9779	1650
9779	2473
9779	1054
9779	2956
9779	199
9779	4381
9779	84
9779	1346
9779	2630
9779	4773
9779	9408
9779	2461
9779	3033
9779	7544
9779	2031
9779	2038
9779	1397
9779	5363
9779	5267
9779	5518
9779	1961
9779	3455
9780	8247
9780	238
9780	4717
9780	8473
9780	2422
9780	744
9780	1810
9781	5114
9781	6642
9782	2414
9782	794
9783	7541
9783	1890
9783	7569
9783	3514
9783	6372
9783	2696
9784	934
9784	8312
9784	947
9785	82
9785	389
9786	1017
9786	7651
9787	1482
9787	5016
9788	809
9788	7203
9788	601
9788	5746
9788	6046
9788	364
9789	3702
9789	130
9789	3030
9789	8894
9790	8306
9790	6427
9790	3150
9790	6764
9790	7380
9791	6915
9791	8191
9791	3271
9791	8004
9791	420
