9774|0, 21
9771|0, 21, 23, 27
9766|0, 21, 23, 33
9765|0, 20, 23, 33
9756|0, 33
9755|0, 24, 34
9754|0, 20, 34
9747|0, 20, 23, 27, 33
9744|0, 20, 33
9743|0, 23, 33
9742|0, 20, 21
9741|0, 20, 26, 33, 34
9740|0, 20, 33
9739|0, 27, 33
9737|0, 23
9730|0, 24, 26, 34
9727|0, 20, 27
9726|0, 20, 27
9721|0, 33
9716|0, 31, 33, 34
9715|0, 23, 24, 29
9707|0, 24, 27
9679|0, 20, 27, 33
9672|0, 29
9670|0, 20
9651|0, 20, 21, 27, 33
9649|0
9636|0, 20, 23
9629|0, 23
9628|0, 24, 26, 34
9626|0, 24, 31, 34
9605|0, 26, 34, 35
9592|0, 29, 33
9591|0, 20, 33
9584|0, 20, 26, 33
9581|0, 21, 33
9576|0, 20, 21, 23
9556|0, 20, 26, 33
9555|0, 24, 34
9541|0, 21, 23
9537|0, 24, 26, 34
9535|0, 20, 27, 29, 34
9534|0, 23
9533|0, 23
9531|0, 26, 35
9525|0, 23, 26
9522|0, 21, 33
9521|0, 29, 33
9520|0, 24, 26
9519|0, 29, 33, 34
9518|0, 20, 33
9508|0, 26, 33
9505|0, 20, 26
9498|0, 20, 27
9497|0, 33
9495|0, 24, 34
9490|0, 20, 27, 33
9486|0, 21, 23
9479|0, 20, 33
9469|0, 29
9467|0, 20, 27, 33
9456|0, 23
9445|0, 24, 26, 31, 34
9437|0, 33
9428|0, 20, 23, 27, 33, 34
9412|0, 20, 27, 33
9410|0, 21, 31
9402|0, 23, 24
9400|0, 36
9398|0, 34
9395|0, 20, 29, 33
9392|0, 20, 21, 26, 27, 33
9389|0, 21, 24, 26
9388|0
9384|0, 26
9376|0, 26, 34
9375|0, 26, 34
9373|0
9366|0, 29, 33
9365|0, 20
9364|0, 24, 26
9362|0
9359|0, 34
9357|0, 23
9356|0, 23, 29, 33
9347|0, 20, 23
9340|0, 23, 34
9334|0, 29, 33
9332|0, 26
9326|0, 23, 34
9324|0
9321|0, 23
9319|0, 21, 23
9316|0, 20, 21, 23, 33
9313|0, 24
9312|0, 24, 26, 34
9305|0, 27
9294|0, 20, 26, 27
9281|0, 23, 32
9280|0, 20, 34
9266|0
9257|0, 20, 21, 23
9256|0, 24, 34
9250|0, 21, 24, 33, 34
9237|0, 27, 33
9234|0, 23
9232|0, 23
9227|0, 24, 26, 31, 34
9226|0, 24
9224|0, 33, 34
9222|0, 26, 34
9218|0, 20, 21
9188|0, 20
9187|0
9184|0, 33
9167|0, 26, 34
9161|0, 20, 21
9155|0, 34
9139|0, 29, 34
9137|0, 24, 26
9127|0, 29, 34
9121|0, 20, 27
9109|0, 23
9107|0, 20, 33
9099|0, 26, 33
9092|0, 20, 21
9072|0, 20, 33
9069|0, 23, 29
9068|0
9065|0, 33, 34
9060|0, 27, 31
9057|0, 23, 33, 34
9035|0, 21, 33, 34
9028|0, 26
9022|0, 20, 21, 26, 27
9016|0, 24, 26, 33
9008|0, 20, 23
9007|0, 20, 21, 27
9006|0, 20, 21
8997|0, 20, 27, 33
8996|0, 20, 32, 33
8991|0, 23
8990|0, 20, 33
8974|0, 21, 33
8965|0, 21
8964|0, 21, 24
8963|0, 20, 24
8960|0, 34
8955|0, 26
8954|0
8951|0, 20, 33
8950|0, 20, 33
8949|0, 24, 33
8947|0, 20, 27
8946|0, 31, 33, 34
8945|0, 21, 24, 33
8939|0, 23, 33
8928|0, 20, 26
8923|0, 23, 24
8918|0, 34
8915|0, 23, 27, 33
8905|0, 20, 23
8903|0, 34, 36
8902|0, 23
8889|0, 24, 34
8885|0, 26, 34
8883|0, 24, 26, 31, 34
8879|0, 20, 26
8875|0, 21, 33
8872|0, 23, 24
8869|0, 20, 31, 33
8863|0, 20, 21
8861|0, 20
8857|0, 24, 34
8846|0, 20, 33
8843|0, 24, 34
8842|0, 34
8839|0, 20, 21, 23, 33
8837|0, 33, 34
8831|0, 24, 26, 34
8827|0, 24, 26, 34
8826|0, 21, 33
8823|0
8820|0, 27, 33
5575|0, 20
8810|0, 20, 23, 33
8804|0, 20, 27
8796|0, 29, 33
8793|0, 24, 26, 34
8784|0, 20, 33, 34
8756|0, 20, 26, 35
8754|0
8738|0, 20, 26, 27
8736|0
8733|0, 20, 27
8732|0, 20, 27, 33
8731|0, 20, 33
8730|0, 33, 34
8729|0, 20, 33
8728|0, 20, 33
8727|0, 20, 33
8726|0, 20, 33
8725|0, 20, 23, 33
8724|0, 20, 27, 33
8723|0, 20, 33
8722|0, 20, 33
8720|0, 20, 33
8719|0, 20, 27
8717|0, 20, 27, 33
8715|0, 20, 33, 34
8713|0, 26, 34
8692|0, 23
8688|0, 20, 33, 34
8687|0, 24, 26
8685|0, 24, 26, 31, 34
8684|0, 24, 34
8681|0, 34
8677|0, 26, 34, 36
8674|0, 24, 26
8670|0, 20, 23, 24
8669|0, 23
8638|0, 34
8634|0, 26, 34, 35
8631|0, 20, 23, 26, 27, 34
8630|0, 23, 24, 32
8624|0, 20, 26, 33, 34
8622|0, 20, 26
8616|0, 26, 34
8608|0, 20, 26
8599|0, 23, 29
8598|0, 26, 35
8597|0, 23
8596|0, 23, 24
8592|0
8585|0, 20
8580|0, 21, 23
8575|0, 26, 35
8572|0, 24
8571|0, 34
8569|0, 21, 23, 29
8567|0, 31, 33, 34
8564|0, 23, 24
8563|0, 26, 27
8557|0, 35
8549|0, 24, 31, 34
8547|0, 31, 33
8533|0, 24, 34
8529|0, 24, 26
8524|0, 20, 23
8523|0, 20, 33
8520|0, 21, 24, 34
8512|0, 20
8511|0, 20
8509|0, 20, 33
8508|0, 29, 34
8492|0, 20, 33
8490|0, 33
8485|0, 20, 21
8484|0, 24, 34
8483|0, 23, 24
8481|0, 21
8478|0, 26
8474|0, 20, 27
8473|0, 20, 34
8472|0, 33
8468|0, 23, 29
8467|0, 20
8460|0, 20, 33
8459|0, 20, 33
8458|0, 33
8456|0, 20, 21, 23
8453|0, 24, 26
8452|0, 21, 23, 30
8440|0, 33
8439|0, 23
8438|0, 24, 34
8429|0, 20, 33
8427|0, 26
8421|0, 24, 26
8416|0, 26, 35
8413|0, 31, 34
8411|0, 24, 26
8400|0, 23, 24
8392|0, 24, 33
8391|0, 20, 21, 23, 27
8390|0, 26, 35
8389|0, 20, 21, 27
8385|0, 27, 33
8380|0, 26, 34
8379|0, 23
8378|0, 20, 21
